t,v,e13,T
457,1.5844,2.7584,53.252830188679255
458,1.6053,2.7793,53.647169811320765
459,1.5667,2.7407,52.91886792452831
460,1.6216,2.7956,53.95471698113208
461,1.6109,2.7849,53.752830188679255
462,1.6059,2.7799,53.65849056603774
463,1.613,2.787,53.79245283018869
464,1.5693,2.7432999999999996,52.967924528301886
465,1.5911,2.7651,53.379245283018875
466,1.5557,2.7297000000000002,52.71132075471699
467,1.4933,2.6673,51.53396226415095
468,1.5765,2.7504999999999997,53.10377358490566
469,1.5335,2.7075,52.29245283018869
470,1.5981,2.7721,53.51132075471699
471,1.6205,2.7945,53.933962264150956
472,1.6176,2.7916,53.879245283018875
473,1.6219,2.7958999999999996,53.96037735849057
474,1.5753,2.7493,53.0811320754717
475,1.6621,2.8361,54.71886792452831
476,1.5669,2.7409,52.922641509433966
477,1.5922,2.7662,53.400000000000006
478,1.5369,2.7108999999999996,52.35660377358491
479,1.573,2.747,53.03773584905661
480,1.4993,2.6733000000000002,51.647169811320765
481,1.5559,2.7298999999999998,52.715094339622645
482,1.5794,2.7534,53.15849056603774
483,1.5875,2.7615,53.31132075471699
484,1.5739,2.7479,53.05471698113208
485,1.5652,2.7392,52.89056603773585
486,1.5645,2.7385,52.877358490566046
487,1.5693,2.7432999999999996,52.967924528301886
488,1.5962,2.7702,53.47547169811321
489,1.6442,2.8182,54.381132075471704
490,1.6129,2.7869,53.79056603773586
491,1.6007,2.7747,53.56037735849058
492,1.5792,2.7531999999999996,53.154716981132076
493,1.5497,2.7237,52.59811320754717
494,1.5777,2.7517,53.12641509433963
495,1.6702,2.8442,54.87169811320755
496,1.6466,2.8205999999999998,54.426415094339625
497,1.5185,2.6925,52.009433962264154
498,1.6257,2.7996999999999996,54.032075471698114
499,1.5179,2.6919,51.99811320754718
500,1.6026,2.7766,53.59622641509435
501,1.5488,2.7228,52.5811320754717
502,1.5806,2.7546,53.1811320754717
503,1.5808,2.7548,53.18490566037736
504,1.5657,2.7397,52.900000000000006
505,1.5958,2.7698,53.46792452830189
506,1.5763,2.7503,53.10000000000001
507,1.613,2.787,53.79245283018869
508,1.5424,2.7164,52.460377358490575
509,1.5781,2.7521,53.13396226415095
510,1.6452,2.8192,54.400000000000006
511,1.5904,2.7644,53.36603773584907
512,1.579,2.753,53.150943396226424
513,1.5738,2.7478,53.052830188679245
514,1.5882,2.7622,53.3245283018868
515,1.5264,2.7004,52.15849056603774
516,1.5017,2.6757,51.692452830188685
517,1.5681,2.7420999999999998,52.945283018867926
518,1.52,2.694,52.03773584905661
519,1.5417,2.7157,52.44716981132076
520,1.5458,2.7198,52.524528301886804
521,1.5542,2.7282,52.68301886792454
522,1.542,2.716,52.45283018867926
523,1.5117,2.6856999999999998,51.8811320754717
524,1.5963,2.7702999999999998,53.47735849056604
525,1.5365,2.7104999999999997,52.34905660377358
526,1.52,2.694,52.03773584905661
527,1.5303,2.7043,52.23207547169812
528,1.5294,2.7034000000000002,52.21509433962265
529,1.4914,2.6654,51.49811320754718
530,1.5742,2.7481999999999998,53.06037735849057
531,1.5509,2.7249,52.62075471698114
532,1.4911,2.6651,51.49245283018868
533,1.5304,2.7043999999999997,52.23396226415095
534,1.5416,2.7156000000000002,52.44528301886793
535,1.5206,2.6946,52.049056603773586
536,1.5222,2.6962,52.07924528301888
537,1.5129,2.6868999999999996,51.90377358490566
538,1.5019,2.6759,51.696226415094344
539,1.4976,2.6715999999999998,51.615094339622644
540,1.5412,2.7152,52.43773584905661
541,1.5178,2.6917999999999997,51.99622641509434
542,1.4765,2.6505,51.216981132075475
543,1.5199,2.6939,52.03584905660378
544,1.5458,2.7198,52.524528301886804
545,1.4454,2.6193999999999997,50.63018867924528
546,1.4771,2.6511,51.22830188679246
547,1.5221,2.6961,52.07735849056604
548,1.4292,2.6032,50.3245283018868
549,1.5134,2.6874000000000002,51.91320754716982
550,1.5056,2.6795999999999998,51.76603773584905
551,1.5136,2.6875999999999998,51.91698113207547
552,1.4912,2.6652,51.49433962264151
553,1.533,2.707,52.28301886792453
554,1.5116,2.6856,51.879245283018875
555,1.4211,2.5951,50.17169811320755
556,1.5109,2.6849,51.86603773584906
557,1.4718,2.6458,51.12830188679246
558,1.5221,2.6961,52.07735849056604
559,1.4902,2.6642,51.47547169811321
560,1.4639,2.6379,50.97924528301888
561,1.5018,2.6757999999999997,51.69433962264151
562,1.4902,2.6642,51.47547169811321
563,1.4789,2.6529,51.262264150943395
564,1.4522,2.6262,50.758490566037736
565,1.4592,2.6332,50.89056603773585
566,1.435,2.609,50.43396226415095
567,1.4465,2.6205,50.65094339622642
568,1.4516,2.6256,50.74716981132076
569,1.4874,2.6614,51.422641509433966
570,1.4876,2.6616,51.426415094339625
571,1.38,2.554,49.39622641509434
572,1.4432,2.6172,50.58867924528302
573,1.4515,2.6254999999999997,50.74528301886792
574,1.4844,2.6584,51.36603773584906
575,1.4824,2.6563999999999997,51.32830188679245
576,1.4607,2.6347,50.91886792452831
577,1.4518,2.6258,50.75094339622642
578,1.4362,2.6102,50.4566037735849
579,1.4631,2.6371,50.964150943396234
580,1.382,2.556,49.43396226415095
581,1.5252,2.6992,52.135849056603774
582,1.4214,2.5953999999999997,50.177358490566036
583,1.3931,2.5671,49.64339622641509
584,1.4281,2.6021,50.30377358490566
585,1.4398,2.6138,50.5245283018868
586,1.4265,2.6005000000000003,50.273584905660385
587,1.3695,2.5435,49.198113207547166
588,1.4281,2.6021,50.30377358490566
589,1.4877,2.6616999999999997,51.428301886792454
590,1.4932,2.6672000000000002,51.53207547169812
591,1.3924,2.5664,49.63018867924528
592,1.42,2.594,50.15094339622642
593,1.4039,2.5778999999999996,49.847169811320754
594,1.3622,2.5362,49.06037735849057
595,1.4404,2.6144,50.53584905660377
596,1.4538,2.6277999999999997,50.78867924528302
597,1.3799,2.5538999999999996,49.3943396226415
598,1.363,2.537,49.075471698113205
599,1.417,2.591,50.09433962264151
600,1.4034,2.5774,49.83773584905661
601,1.3848,2.5587999999999997,49.48679245283019
602,1.3219,2.4959,48.3
603,1.3513,2.5252999999999997,48.85471698113207
604,1.3611,2.5351,49.03962264150943
605,1.4079,2.5819,49.922641509433966
606,1.3742,2.5482,49.28679245283019
607,1.4064,2.5804,49.89433962264151
608,1.3382,2.5122,48.60754716981132
609,1.3799,2.5538999999999996,49.3943396226415
610,1.3649,2.5389,49.111320754716985
611,1.3959,2.5698999999999996,49.69622641509434
612,1.3778,2.5518,49.35471698113208
613,1.3089,2.4829,48.054716981132074
614,1.3346,2.5086,48.53962264150943
615,1.3513,2.5252999999999997,48.85471698113207
616,1.4105,2.5845000000000002,49.97169811320755
617,1.3654,2.5393999999999997,49.120754716981125
618,1.3857,2.5597,49.50377358490566
619,1.3771,2.5511,49.341509433962266
620,1.3854,2.5594,49.49811320754718
621,1.3097,2.4837,48.06981132075472
622,1.3376,2.5115999999999996,48.596226415094335
623,1.3737,2.5477,49.27735849056604
624,1.4002,2.5742,49.77735849056604
625,1.3275,2.5015,48.405660377358494
626,1.3343,2.5083,48.53396226415095
627,1.4178,2.5918,50.109433962264156
628,1.3204,2.4943999999999997,48.27169811320754
629,1.3746,2.5486,49.29433962264151
630,1.2978,2.4718,47.845283018867924
631,1.4328,2.6068,50.39245283018868
632,1.3681,2.5421,49.17169811320755
633,1.329,2.503,48.43396226415095
634,1.394,2.5679999999999996,49.660377358490564
635,1.3844,2.5584,49.47924528301887
636,1.3552,2.5292,48.928301886792454
637,1.3808,2.5548,49.41132075471699
638,1.3367,2.5107,48.57924528301887
639,1.3366,2.5106,48.57735849056604
640,1.3209,2.4949,48.281132075471696
641,1.3587,2.5327,48.99433962264151
642,1.3555,2.5294999999999996,48.933962264150935
643,1.3519,2.5259,48.86603773584906
644,1.2889,2.4629,47.677358490566036
645,1.3718,2.5458,49.241509433962264
646,1.3002,2.4741999999999997,47.890566037735844
647,1.4369,2.6109,50.46981132075472
648,1.3357,2.5097,48.56037735849057
649,1.3709,2.5449,49.2245283018868
650,1.3466,2.5206,48.76603773584905
651,1.3372,2.5111999999999997,48.58867924528301
652,1.3438,2.5178000000000003,48.713207547169816
653,1.383,2.557,49.45283018867924
654,1.3209,2.4949,48.281132075471696
655,1.2966,2.4706,47.822641509433964
656,1.3686,2.5426,49.1811320754717
657,1.2862,2.4602,47.62641509433962
658,1.2976,2.4716,47.841509433962266
659,1.3265,2.5004999999999997,48.386792452830186
660,1.2637,2.4377,47.20188679245283
661,1.3379,2.5119,48.60188679245283
662,1.3183,2.4923,48.23207547169812
663,1.3337,2.5077,48.52264150943396
664,1.2799,2.4539,47.50754716981132
665,1.267,2.441,47.264150943396224
666,1.3038,2.4778000000000002,47.95849056603774
667,1.2715,2.4455,47.34905660377358
668,1.3631,2.5370999999999997,49.077358490566034
669,1.2453,2.4193,46.85471698113207
670,1.2774,2.4514,47.46037735849057
671,1.289,2.463,47.67924528301887
672,1.2718,2.4458,47.35471698113208
